rowno,ptno,ptnm,addr,orgnm,wmyr,wmod,wmwk,wmdep,londgr,lonmin,lonsec,latdgr,latmin,latsec,wmcymd,itemlvl,itemamnt,itemtemp,itemph,itemdoc,itembod,itemcod,itemss,itemtcoli,itemtn,itemtp,itemcd,itemcn,itempb,itemcr6,itemas,itemhg,itemcu,itemabs,itempcb,itemop,itemmn,itemtrans,itemcloa,itemcl,itemzn,itemcr,itemfe,itemphenol,itemnhex,itemec,itemtce,itempce,itemno3n,itemnh3n,itemecoli,itempop,itemdtn,itemdtp,itemfl,itemcol,itemalgol,itemccl4,itemdceth,itemdcm,itembenzene,itemchcl3,itemtoc,itemdehp,itemantimon,itemdiox,itemhcho,itemhcb,itemni,itemba,itemse
57,1004A45,달천3A,충청북도 괴산군 불정면 하문리 조곡교,한강물환경연구소,2020,1,2회차,,127,52,47,36,52,50,2020.01.14,,21.958,3,8.2,13.6,0.7,3.1,2.8,,3.382,0.03,,,,,,,,,,,,,,,,,,,,127,,,3.1,0.02,,0.009,3.352,0.02,,,,,,,,,1.8,,,,,,,,
368,1004B30,괴산댐1,충청북도 괴산군 칠성면 외사리 댐앞,원주지방환경청,2020,1,1회차,,127,50,29,36,45,16,2020.01.15,,,4.4,9,12.7,0.5,3.3,3.6,1760,2.722,0.024,,,,,,,,,,,,,1.6,,,,,0,,109,,,2.544,0.013,27,0.01,2.715,0.015,,,,,,,,,2.7,,,,,,,,
369,1004A25,달천2,충청북도 괴산군 칠성면  괴강교,원주지방환경청,2020,1,1회차,,127,49,16,36,48,16,2020.01.15,,,4,8.5,13.5,0.5,3.5,2.4,1200,2.845,0.021,,,,,,,,,,,,,1.4,,,,,0,,120,,,2.337,0.021,12,0.008,2.407,0.01,,,,,,,,,2.2,,,,,,,,
370,1004A40,달천3,충청북도 괴산군 불정면 목도리 목도교,원주지방환경청,2020,1,1회차,,127,51,22,36,52,11,2020.01.15,,,3.5,8.9,13.9,0.5,3.2,2.4,500,2.978,0.014,,,,,,,,,,,,,1.1,,,,,0,,146,,,2.26,0.019,22,0.006,2.595,0.007,,,,,,,,,2.4,,,,,,,,
656,1004A20,쌍천,충청북도 괴산군 칠성면 도정리 칠성교,충청북도 보건환경연구원,2020,1,1회차,,127,51,41,36,47,11,2020.01.10,,,3.7,8.1,14.6,0.3,4.8,1.1,3500,3.538,0.011,,,,,,,,,,,,,0.6,,,,,0,,144,,,3.331,0.018,130,0,3.475,0.01,,,,,,,,,1.7,,,,,,,,
657,1004A10,화양천,충청북도 괴산군 청천면 화양리 화양제1교,충청북도 보건환경연구원,2020,1,1회차,,127,48,19,36,40,37,2020.01.10,,,3.5,8.1,14.3,0.2,1.9,1,920,2.003,0.008,,,,,,,,,,,,,0.3,,,,,0,,65,,,1.952,0,46,0,1.982,0.007,,,,,,,,,1.4,,,,,,,,
912,1004A45,달천3A,충청북도 괴산군 불정면 하문리 조곡교,한강물환경연구소,2020,1,4회차,,127,52,47,36,52,50,2020.01.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1004A45,달천3A,충청북도 괴산군 불정면 하문리 조곡교,한강물환경연구소,2020,1,2회차,,127,52,47,36,52,50,2020.01.14,,21.958,3,8.2,13.6,0.7,3.1,2.8,,3.382,0.03,,,,,,,,,,,,,,,,,,,,127,,,3.1,0.02,,0.009,3.352,0.02,,,,,,,,,1.8,,,,,,,,
368,1004B30,괴산댐1,충청북도 괴산군 칠성면 외사리 댐앞,원주지방환경청,2020,1,1회차,,127,50,29,36,45,16,2020.01.15,,,4.4,9,12.7,0.5,3.3,3.6,1760,2.722,0.024,,,,,,,,,,,,,1.6,,,,,0,,109,,,2.544,0.013,27,0.01,2.715,0.015,,,,,,,,,2.7,,,,,,,,
369,1004A25,달천2,충청북도 괴산군 칠성면  괴강교,원주지방환경청,2020,1,1회차,,127,49,16,36,48,16,2020.01.15,,,4,8.5,13.5,0.5,3.5,2.4,1200,2.845,0.021,,,,,,,,,,,,,1.4,,,,,0,,120,,,2.337,0.021,12,0.008,2.407,0.01,,,,,,,,,2.2,,,,,,,,
