rowno,ptno,ptnm,addr,orgnm,wmyr,wmod,wmwk,wmdep,londgr,lonmin,lonsec,latdgr,latmin,latsec,wmcymd,itemlvl,itemamnt,itemtemp,itemph,itemdoc,itembod,itemcod,itemss,itemtcoli,itemtn,itemtp,itemcd,itemcn,itempb,itemcr6,itemas,itemhg,itemcu,itemabs,itempcb,itemop,itemmn,itemtrans,itemcloa,itemcl,itemzn,itemcr,itemfe,itemphenol,itemnhex,itemec,itemtce,itempce,itemno3n,itemnh3n,itemecoli,itempop,itemdtn,itemdtp,itemfl,itemcol,itemalgol,itemccl4,itemdceth,itemdcm,itembenzene,itemchcl3,itemtoc,itemdehp,itemantimon,itemdiox,itemhcho,itemhcb,itemni,itemba,itemse
46,1012A20,내린천2,강원도 인제군 인제읍 고사리 무명교,한강물환경연구소,2020,1,3회차,,128,11,36,38,3,50,2020.01.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,1012B10,소양강댐4,강원도 인제군 남면 부평리 신남선착장앞,한국수자원공사,2020,1,15,8,128,5,59,38,0,23,2020.01.07,,,4.1,7.2,12.5,2.5,2.8,1.7,71,1.998,0.015,,,,,,,,,,,,,4.4,,,,,0,,85,,,1.2,0.06,0,0.006,1.746,0.012,,,,,,,,,1.7,,,,,,,,
483,1011A20,인북천2,강원도 인제군 인제읍 덕산리 리빙스톤교,한강물환경연구소,2020,1,1회차,,128,11,6,38,5,9,2020.01.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,1011A20,인북천2,강원도 인제군 인제읍 덕산리 리빙스톤교,한강물환경연구소,2020,1,2회차,,128,11,6,38,5,9,2020.01.14,,17.219,1.4,7.4,14.9,0.3,1.7,1,210,1.728,0.009,,,,,,,,,,,,,0.3,,,,,0,,74,,,1.617,0.017,76,0.004,1.717,0.006,,,,,,,,,0.8,,,,,,,,
662,1012B20,소양강댐5,강원도 인제군 남면 상수내리 양구교,한국수자원공사,2020,1,15,10,128,3,33,37,59,29,2020.01.07,,,7.3,7.1,11.3,2,2.4,1.3,1011,2.054,0.013,,,,,,,,,,,,,3.7,,,,,0,,82,,,1.2,0.05,0,0.006,1.748,0.01,,,,,,,,,1.7,,,,,,,,
809,1012A30,소양강1,강원도 인제군 인제읍 남북리 사구미교,원주지방환경청,2020,1,1회차,,128,10,6,38,3,20,2020.01.15,,,1.2,7.8,14.2,0.5,2,0.7,2960,2.045,0.008,,,,,,,,,,,,,0.3,,,,,0,,153,,,1.79,0.04,420,0.006,1.891,0.007,,,,,,,,,1.2,,,,,,,,
46,1012A20,내린천2,강원도 인제군 인제읍 고사리 무명교,한강물환경연구소,2020,1,3회차,,128,11,36,38,3,50,2020.01.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,1012B10,소양강댐4,강원도 인제군 남면 부평리 신남선착장앞,한국수자원공사,2020,1,15,8,128,5,59,38,0,23,2020.01.07,,,4.1,7.2,12.5,2.5,2.8,1.7,71,1.998,0.015,,,,,,,,,,,,,4.4,,,,,0,,85,,,1.2,0.06,0,0.006,1.746,0.012,,,,,,,,,1.7,,,,,,,,
483,1011A20,인북천2,강원도 인제군 인제읍 덕산리 리빙스톤교,한강물환경연구소,2020,1,1회차,,128,11,6,38,5,9,2020.01.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,1011A20,인북천2,강원도 인제군 인제읍 덕산리 리빙스톤교,한강물환경연구소,2020,1,2회차,,128,11,6,38,5,9,2020.01.14,,17.219,1.4,7.4,14.9,0.3,1.7,1,210,1.728,0.009,,,,,,,,,,,,,0.3,,,,,0,,74,,,1.617,0.017,76,0.004,1.717,0.006,,,,,,,,,0.8,,,,,,,,
