rowno,ptno,ptnm,addr,orgnm,wmyr,wmod,wmwk,wmdep,londgr,lonmin,lonsec,latdgr,latmin,latsec,wmcymd,itemlvl,itemamnt,itemtemp,itemph,itemdoc,itembod,itemcod,itemss,itemtcoli,itemtn,itemtp,itemcd,itemcn,itempb,itemcr6,itemas,itemhg,itemcu,itemabs,itempcb,itemop,itemmn,itemtrans,itemcloa,itemcl,itemzn,itemcr,itemfe,itemphenol,itemnhex,itemec,itemtce,itempce,itemno3n,itemnh3n,itemecoli,itempop,itemdtn,itemdtp,itemfl,itemcol,itemalgol,itemccl4,itemdceth,itemdcm,itembenzene,itemchcl3,itemtoc,itemdehp,itemantimon,itemdiox,itemhcho,itemhcb,itemni,itemba,itemse
54,1002A55,평창강3-1,강원도 영월군 영월읍 하송리 팔괴교,한강물환경연구소,2020,1,3회차,,128,27,27,37,10,7,2020.01.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,1003A05,영월2,강원도 영월군 영월읍 정양리 팔흥교,원주지방환경청,2020,1,4회차,,128,29,45,37,9,37,2020.01.28,,,6.2,9.5,13.5,0.6,2.2,1.1,1260,3.342,0.011,,,,,,,,,,,,,1.7,,,,,0,,304,,,2.782,0.038,89,0.007,2.895,0.009,,,,,,,,,1.7,,,,,,,,
492,1003A15,옥동천2,강원도 영월군 김삿갓면 옥동리 옥동교,한강물환경연구소,2020,1,1회차,,128,34,5,37,6,60,2020.01.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,1002A20,주천강2,강원도 영월군 한반도면 신천리 신천교,한강물환경연구소,2020,1,2회차,,128,20,2,37,13,37,2020.01.14,,10.378,2.3,7.8,13.6,0.4,1.9,1.1,120,4.3,0.012,,,,,,,,,,,,,0.7,,,,,0,,169,,,4.174,0.013,2,0.003,4.26,0.01,,,,,,,,,1.1,,,,,,,,
811,1003A05,영월2,강원도 영월군 영월읍 정양리 팔흥교,원주지방환경청,2020,1,3회차,,128,29,45,37,9,37,2020.01.21,,,3.7,8.1,14.3,0.3,2.2,0.7,10,3.622,0.226,,,,,,,,,,,,,0.2,,,,,0,,296,,,3.033,0.026,2,0.005,3.119,0.185,,,,,,,,,2.1,,,,,,,,
828,1003A10,옥동천1,강원도 영월군 상동읍 천평리,강원도 보건환경연구원,2020,1,1회차,,128,52,11,37,6,20,2020.01.06,,,1.8,7.9,12.3,0.4,1.1,0.4,190,1.395,0.007,,,,,,,,,,,,,0.8,,,,,0,,155,,,1.119,0.015,0,0.003,1.374,0.006,,,,,,,,,0.9,0,,,,,,,
906,1003A15,옥동천2,강원도 영월군 김삿갓면 옥동리 옥동교,한강물환경연구소,2020,1,2회차,,128,34,5,37,6,60,2020.01.14,,6.123,4.2,8.1,13.1,0.3,1.3,0.3,12,2.024,0.016,,,,,,,,,,,,,0,,,,,0,,172,,,1.858,0.028,4,0.012,2.013,0.014,,,,,,,,,0.7,,,,,,,,
54,1002A55,평창강3-1,강원도 영월군 영월읍 하송리 팔괴교,한강물환경연구소,2020,1,3회차,,128,27,27,37,10,7,2020.01.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,1003A05,영월2,강원도 영월군 영월읍 정양리 팔흥교,원주지방환경청,2020,1,4회차,,128,29,45,37,9,37,2020.01.28,,,6.2,9.5,13.5,0.6,2.2,1.1,1260,3.342,0.011,,,,,,,,,,,,,1.7,,,,,0,,304,,,2.782,0.038,89,0.007,2.895,0.009,,,,,,,,,1.7,,,,,,,,
492,1003A15,옥동천2,강원도 영월군 김삿갓면 옥동리 옥동교,한강물환경연구소,2020,1,1회차,,128,34,5,37,6,60,2020.01.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,1002A20,주천강2,강원도 영월군 한반도면 신천리 신천교,한강물환경연구소,2020,1,2회차,,128,20,2,37,13,37,2020.01.14,,10.378,2.3,7.8,13.6,0.4,1.9,1.1,120,4.3,0.012,,,,,,,,,,,,,0.7,,,,,0,,169,,,4.174,0.013,2,0.003,4.26,0.01,,,,,,,,,1.1,,,,,,,,
811,1003A05,영월2,강원도 영월군 영월읍 정양리 팔흥교,원주지방환경청,2020,1,3회차,,128,29,45,37,9,37,2020.01.21,,,3.7,8.1,14.3,0.3,2.2,0.7,10,3.622,0.226,,,,,,,,,,,,,0.2,,,,,0,,296,,,3.033,0.026,2,0.005,3.119,0.185,,,,,,,,,2.1,,,,,,,,
828,1003A10,옥동천1,강원도 영월군 상동읍 천평리,강원도 보건환경연구원,2020,1,1회차,,128,52,11,37,6,20,2020.01.06,,,1.8,7.9,12.3,0.4,1.1,0.4,190,1.395,0.007,,,,,,,,,,,,,0.8,,,,,0,,155,,,1.119,0.015,0,0.003,1.374,0.006,,,,,,,,,0.9,0,,,,,,,
906,1003A15,옥동천2,강원도 영월군 김삿갓면 옥동리 옥동교,한강물환경연구소,2020,1,2회차,,128,34,5,37,6,60,2020.01.14,,6.123,4.2,8.1,13.1,0.3,1.3,0.3,12,2.024,0.016,,,,,,,,,,,,,0,,,,,0,,172,,,1.858,0.028,4,0.012,2.013,0.014,,,,,,,,,0.7,,,,,,,,
54,1002A55,평창강3-1,강원도 영월군 영월읍 하송리 팔괴교,한강물환경연구소,2020,1,3회차,,128,27,27,37,10,7,2020.01.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,1003A05,영월2,강원도 영월군 영월읍 정양리 팔흥교,원주지방환경청,2020,1,4회차,,128,29,45,37,9,37,2020.01.28,,,6.2,9.5,13.5,0.6,2.2,1.1,1260,3.342,0.011,,,,,,,,,,,,,1.7,,,,,0,,304,,,2.782,0.038,89,0.007,2.895,0.009,,,,,,,,,1.7,,,,,,,,
492,1003A15,옥동천2,강원도 영월군 김삿갓면 옥동리 옥동교,한강물환경연구소,2020,1,1회차,,128,34,5,37,6,60,2020.01.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,1002A20,주천강2,강원도 영월군 한반도면 신천리 신천교,한강물환경연구소,2020,1,2회차,,128,20,2,37,13,37,2020.01.14,,10.378,2.3,7.8,13.6,0.4,1.9,1.1,120,4.3,0.012,,,,,,,,,,,,,0.7,,,,,0,,169,,,4.174,0.013,2,0.003,4.26,0.01,,,,,,,,,1.1,,,,,,,,
811,1003A05,영월2,강원도 영월군 영월읍 정양리 팔흥교,원주지방환경청,2020,1,3회차,,128,29,45,37,9,37,2020.01.21,,,3.7,8.1,14.3,0.3,2.2,0.7,10,3.622,0.226,,,,,,,,,,,,,0.2,,,,,0,,296,,,3.033,0.026,2,0.005,3.119,0.185,,,,,,,,,2.1,,,,,,,,
828,1003A10,옥동천1,강원도 영월군 상동읍 천평리,강원도 보건환경연구원,2020,1,1회차,,128,52,11,37,6,20,2020.01.06,,,1.8,7.9,12.3,0.4,1.1,0.4,190,1.395,0.007,,,,,,,,,,,,,0.8,,,,,0,,155,,,1.119,0.015,0,0.003,1.374,0.006,,,,,,,,,0.9,0,,,,,,,
906,1003A15,옥동천2,강원도 영월군 김삿갓면 옥동리 옥동교,한강물환경연구소,2020,1,2회차,,128,34,5,37,6,60,2020.01.14,,6.123,4.2,8.1,13.1,0.3,1.3,0.3,12,2.024,0.016,,,,,,,,,,,,,0,,,,,0,,172,,,1.858,0.028,4,0.012,2.013,0.014,,,,,,,,,0.7,,,,,,,,
