add0,name,search,wqg,bts,tbp,p_count,c_count,p_ratio,c_ratio,g_count,tnum,sum_rank,g_ratio,sum_ratio
괴산,화양구곡,3.82,1.7,19,91,31,0,0.392405,0,320,62,1821,0.69869,0.417852
괴산,갈론계곡,2.17,2,13,148,8,6,0.101266,0.857143,50,46,780,0.10917,0.178981
괴산,괴산선유동계곡,2.31,-2,21,75,21,0,0.265823,0,80,14,147,0.174672,0.033731
괴산,쌍곡구곡,0.06,2,16,64,19,1,0.240506,0.142857,8,62,1610,0.017467,0.369436
영월,김삿갓계곡,10.39,6,20,72,20,2,0.25974,0.142857,71,55,1015,0.160271,0.537606
영월,어라연계곡,0.88,-2,12,40,3,2,0.038961,0.142857,80,0,0,0.180587,0
영월,이끼계곡,2.44,4,18,76,0,1,0,0.071429,91,1,27,0.205418,0.014301
영월,연하계곡,1.12,-1,10,41,2,1,0.025974,0.071429,59,27,464,0.133183,0.245763
영월,법흥계곡,0.39,-1,24,96,24,4,0.311688,0.285714,62,14,262,0.139955,0.138771
영월,엄둔계곡,65.74,-4.6,24,156,19,3,0.246753,0.214286,61,5,120,0.137698,0.063559
영월,내리계곡,4.37,6,28,111,9,1,0.116883,0.071429,19,0,0,0.042889,0
양구,천미계곡,5.8,2,33,128,0,0,0,0,26,60,1612,0.042003,0.59748
양구,광치계곡,0.38,2,5.5,58,4,2,0.25,0.333333,12,0,0,0.019386,0
양구,두타연계곡,0.61,2,16.3,86,6,0,0.375,0,432,60,1086,0.6979,0.40252
양구,비수구미,6.19,2,26.4,112,2,1,0.125,0.166667,134,0,0,0.216478,0
양구,남전계곡,0.3,2,11,97,4,3,0.25,0.5,15,0,0,0.024233,0
인제,아침가리계곡,9.69,-2.5,11.3,51,13,2,0.087838,0.037037,271,62,1340,0.29015,0.377146
인제,내린천,3.69,3.6,4.7,15,40,23,0.27027,0.425926,117,2,4,0.125268,0.001126
인제,백담계곡,13.97,1.5,2.5,3,6,8,0.040541,0.148148,160,62,1553,0.171306,0.437095
인제,십이선녀탕,1.7,1.5,3.7,23,4,5,0.027027,0.092593,117,58,656,0.125268,0.184633
인제,진동계곡,1.78,-2.5,10.4,51,13,2,0.087838,0.037037,52,0,0,0.055675,0
인제,미산계곡,1.64,-2.4,6.2,50,20,1,0.135135,0.018519,65,0,0,0.069593,0
인제,하추리계곡,0.47,3.7,13.2,48,13,1,0.087838,0.018519,8,0,0,0.008565,0
인제,가야동계곡,0.1,1.5,9.5,999,0,0,0,0,21,0,0,0.022484,0
인제,구만동계곡,0.41,1.5,1.2,9,12,7,0.081081,0.12963,7,0,0,0.007495,0
