rowno,ptno,ptnm,addr,orgnm,wmyr,wmod,wmwk,wmdep,londgr,lonmin,lonsec,latdgr,latmin,latsec,wmcymd,itemlvl,itemamnt,itemtemp,itemph,itemdoc,itembod,itemcod,itemss,itemtcoli,itemtn,itemtp,itemcd,itemcn,itempb,itemcr6,itemas,itemhg,itemcu,itemabs,itempcb,itemop,itemmn,itemtrans,itemcloa,itemcl,itemzn,itemcr,itemfe,itemphenol,itemnhex,itemec,itemtce,itempce,itemno3n,itemnh3n,itemecoli,itempop,itemdtn,itemdtp,itemfl,itemcol,itemccl4,itemdceth,itemdcm,itembenzene,itemchcl3,itemtoc,itemdehp,itemantimon,itemdiox,itemhcho,itemhcb,itemni,itemba,itemse,createdate
1,4009A40,덕은,경상남도 하동군 화개면 탑리(남도대교) 영당앞,영산강유역환경청,2019,01,1회차,,127.00,38.00,31.00,35.00,10.00,11.00,2019.01.14,,,3.9000,7.1000,15.3000,0.5000,2.5000,1.2000,24.0000,2.1150,0.0160,,,,,,,,,,,,,2.1000,,,,,,,175.0000,,,1.7300,0.0000,6.0000,0.0000,2.0760,0.0120,,,,,,,,1.7000,,,,,,,,,
2,5006A40,무안1,전라남도 무안군 몽탄면 명산리 몽탄대교,영산강유역환경청,2019,01,3회차,,126.00,31.00,48.00,34.00,53.00,55.00,2019.01.21,,,4.0000,8.0000,14.3000,3.7000,8.1000,19.6000,30.0000,5.8630,0.0650,,,,,,,,,,,,,49.1000,,,,,,,472.0000,,,3.6100,0.7170,5.0000,0.0000,5.5710,0.0300,,,,,,,,5.7000,,,,,,,,,
3,4008A20,보성천-1,전라남도 곡성군 죽곡면 하한리 압록교,영산강유역환경청,2019,01,1회차,,127.00,22.00,34.00,35.00,11.00,34.00,2019.01.07,,,3.6000,7.1000,11.7000,0.6000,2.7000,0.4000,12.0000,1.0390,0.0120,,,,,,,,,,,,,1.2000,,,,,,,106.0000,,,0.6170,0.0480,6.0000,0.0000,0.9940,0.0130,,,,,,,,1.9000,,,,,,,,,
4,4008A20,보성천-1,전라남도 곡성군 죽곡면 하한리 압록교,영산강유역환경청,2019,01,4회차,,127.00,22.00,34.00,35.00,11.00,34.00,2019.01.28,,,3.4000,8.2000,13.6000,1.0000,3.2000,1.6000,6.0000,0.9770,0.0190,,,,,,,,,,,,,1.9000,,,,,,,157.0000,,,0.5920,0.0440,2.0000,0.0000,0.9000,0.0160,,,,,,,,1.8000,,,,,,,,,
5,4105A40,수어천1,전라남도 광양시 광영동 십리제방,영산강유역환경청,2019,01,1회차,,127.00,43.00,45.00,34.00,57.00,46.00,2019.01.15,,,6.7000,7.6000,5.6000,1.5000,2.9000,44.0000,3.0000,0.5810,0.0240,,,,,,,,,,,,,20.8000,,,,,,,43665.0000,,,0.1750,0.0120,2.0000,0.0000,0.4940,0.0130,,,,,,,,1.9000,,,,,,,,,
6,4104A40,순천동천2,전라남도 순천시 홍래동 동천교,영산강유역환경청,2019,01,1회차,,127.00,31.00,11.00,34.00,54.00,56.00,2019.01.17,,,2.9000,8.4000,15.3000,3.0000,5.3000,10.8000,11.0000,2.2160,0.0420,,,,,,,,,,,,,41.2000,,,,,,,214.0000,,,1.4430,0.0000,1.0000,0.0000,2.1210,0.0420,,,,,,,,2.9000,,,,,,,,,
7,4104A50,순천동천3,전라남도 순천시 교량동 동천과 이사천 합류후,영산강유역환경청,2019,01,1회차,,127.00,31.00,2.00,34.00,54.00,5.00,2019.01.23,,,6.6000,7.5000,12.3000,7.0000,21.5000,47.2000,2200.0000,8.1700,0.4580,,,,,,,,,,,,,2.9000,,,,,,,12940.0000,,,1.1510,5.6530,700.0000,0.2510,7.2560,0.2860,,,,,,,,11.2000,,,,,,,,,
8,5008B10,영산호1,전라남도 목포시 옥암동 방조제앞,영산강유역환경청,2019,01,13,5.0,126.00,27.00,4.00,34.00,47.00,34.00,2019.01.08,,,3.9000,7.4000,13.7000,0.8000,5.4000,6.4000,42.0000,3.1170,0.0440,,,,,,,,,,,,,1.9000,,,,,,,1268.0000,,,1.9960,0.3600,10.0000,0.0210,2.9660,0.0320,,,,,,,,3.4000,,,,,,,,,
9,5008B10,영산호1,전라남도 목포시 옥암동 방조제앞,영산강유역환경청,2019,01,15,10.0,126.00,27.00,4.00,34.00,47.00,34.00,2019.01.08,,,3.8000,7.4000,14.1000,0.7000,5.0000,6.4000,55.0000,3.1070,0.0410,,,,,,,,,,,,,1.8000,,,,,,,1292.0000,,,2.3620,0.3340,1.0000,0.0190,3.0790,0.0330,,,,,,,,3.6000,,,,,,,,,
10,5005A05,고막원천,전라남도 함평군 월야면 계림리 마을교량,영산강물환경연구소,2019,01,3회차,,126.00,37.00,46.00,35.00,12.00,3.00,2019.01.22,1.2400,0.2210,3.4000,8.2000,17.2000,1.3000,3.2000,2.9000,,4.0540,0.0370,,,,,,,,,,,,,,,,,,,,271.0000,,,,,,,,,,,,,,,,2.4000,,,,,,,,,
