ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,±â¿Â(¡ÆC),°­¼ö·®(mm),½Àµµ(%),5cm ÁöÁß¿Âµµ(¡ÆC),10cm ÁöÁß¿Âµµ(¡ÆC)
105,°­¸ª,2020-07-26 01:00,20.1,2.6,100,21.6,21.6
105,°­¸ª,2020-07-26 02:00,20,1.4,99,21.5,21.5
105,°­¸ª,2020-07-26 03:00,19.9,.6,98,21.4,21.4
105,°­¸ª,2020-07-26 04:00,19.7,,97,21.4,21.3
105,°­¸ª,2020-07-26 05:00,19.6,.2,98,21.3,21.2
105,°­¸ª,2020-07-26 06:00,19.6,,99,21.2,21.2
105,°­¸ª,2020-07-26 07:00,19.9,,98,21.3,21.2
105,°­¸ª,2020-07-26 08:00,20.4,,97,21.5,21.4
105,°­¸ª,2020-07-26 09:00,21.9,,91,22.1,21.8
105,°­¸ª,2020-07-26 10:00,23.3,,87,23,22.6
105,°­¸ª,2020-07-26 11:00,24.3,,82,24.4,23.9
105,°­¸ª,2020-07-26 12:00,24,,82,25.2,24.8
105,°­¸ª,2020-07-26 13:00,23.5,,82,25.4,25
105,°­¸ª,2020-07-26 14:00,22.8,,83,25.2,24.9
105,°­¸ª,2020-07-26 15:00,22.2,,87,25.1,24.8
105,°­¸ª,2020-07-26 16:00,21.7,,88,24.6,24.5
105,°­¸ª,2020-07-26 17:00,21.3,0,92,24.2,24.1
105,°­¸ª,2020-07-26 18:00,20.9,,93,23.8,23.7
105,°­¸ª,2020-07-26 19:00,20.8,,94,23.5,23.4
105,°­¸ª,2020-07-26 20:00,20.8,,94,23.2,23.1
105,°­¸ª,2020-07-26 21:00,20.7,,94,23,22.9
105,°­¸ª,2020-07-26 22:00,20.6,,94,22.8,22.7
105,°­¸ª,2020-07-26 23:00,20.6,,95,22.6,22.6
105,°­¸ª,2020-07-27 00:00,20.6,,95,22.6,22.5
105,°­¸ª,2020-07-27 01:00,20.6,,95,22.5,22.4
105,°­¸ª,2020-07-27 02:00,20.5,,96,22.4,22.3
105,°­¸ª,2020-07-27 03:00,20.5,,96,22.3,22.3
105,°­¸ª,2020-07-27 04:00,20.4,,97,22.3,22.2
105,°­¸ª,2020-07-27 05:00,20.4,.1,98,22.2,22.1
105,°­¸ª,2020-07-27 06:00,20.4,.1,98,22.2,22.1
105,°­¸ª,2020-07-27 07:00,20.5,,98,22.2,22.1
105,°­¸ª,2020-07-27 08:00,20.6,,98,22.2,22.1
105,°­¸ª,2020-07-27 09:00,20.7,,98,22.2,22.1
105,°­¸ª,2020-07-27 10:00,20.6,,96,22.3,22.2
105,°­¸ª,2020-07-27 11:00,20.9,,96,22.4,22.3
105,°­¸ª,2020-07-27 12:00,20.9,,96,22.5,22.4
105,°­¸ª,2020-07-27 13:00,21,.5,97,22.6,22.4
105,°­¸ª,2020-07-27 14:00,21.2,.4,95,22.7,22.5
105,°­¸ª,2020-07-27 15:00,21.5,.2,94,22.9,22.7
105,°­¸ª,2020-07-27 16:00,21.9,,93,23.1,22.8
105,°­¸ª,2020-07-27 17:00,21.7,0,92,23.2,22.9
105,°­¸ª,2020-07-27 18:00,21.4,,93,23.1,22.9
105,°­¸ª,2020-07-27 19:00,20.9,,94,22.9,22.8
105,°­¸ª,2020-07-27 20:00,20.7,,95,22.7,22.6
105,°­¸ª,2020-07-27 21:00,20.4,,97,22.5,22.4
105,°­¸ª,2020-07-27 22:00,20.3,,98,22.4,22.3
105,°­¸ª,2020-07-27 23:00,20.3,0,99,22.3,22.2
105,°­¸ª,2020-07-28 00:00,20.3,.2,99,22.2,22.1
105,°­¸ª,2020-07-28 01:00,20.3,.2,99,22.1,22
105,°­¸ª,2020-07-28 02:00,20.4,.6,99,22,22
105,°­¸ª,2020-07-28 03:00,20.4,.1,99,22,21.9
105,°­¸ª,2020-07-28 04:00,20.4,.1,98,22,21.9
105,°­¸ª,2020-07-28 05:00,20.3,.1,99,21.9,21.8
105,°­¸ª,2020-07-28 06:00,20.4,.4,100,21.9,21.8
105,°­¸ª,2020-07-28 07:00,20.4,.4,99,21.8,21.7
105,°­¸ª,2020-07-28 08:00,20.7,.3,99,21.9,21.8
105,°­¸ª,2020-07-28 09:00,21.5,,98,22.2,22
105,°­¸ª,2020-07-28 10:00,21.5,,96,22.5,22.3
105,°­¸ª,2020-07-28 11:00,22,,94,22.8,22.6
105,°­¸ª,2020-07-28 12:00,22,.4,94,22.9,22.7
105,°­¸ª,2020-07-28 13:00,21.8,.3,95,23.1,22.8
105,°­¸ª,2020-07-28 14:00,21.8,,94,23.3,23
105,°­¸ª,2020-07-28 15:00,22,,93,23.3,23.1
105,°­¸ª,2020-07-28 16:00,22.2,,92,23.4,23.2
105,°­¸ª,2020-07-28 17:00,22.1,,93,23.4,23.2
105,°­¸ª,2020-07-28 18:00,22,,94,23.2,23.1
105,°­¸ª,2020-07-28 19:00,22,,94,23.1,23
105,°­¸ª,2020-07-28 20:00,21.8,.1,94,23,22.9
105,°­¸ª,2020-07-28 21:00,21.3,.7,96,22.8,22.7
105,°­¸ª,2020-07-28 22:00,21.1,.2,97,22.7,22.6
105,°­¸ª,2020-07-28 23:00,21,,97,22.6,22.5
105,°­¸ª,2020-07-29 00:00,20.9,,97,22.5,22.4
105,°­¸ª,2020-07-29 01:00,20.9,,98,22.4,22.3
105,°­¸ª,2020-07-29 02:00,20.9,.7,98,22.3,22.2
105,°­¸ª,2020-07-29 03:00,20.8,.2,98,22.3,22.2
105,°­¸ª,2020-07-29 04:00,20.8,1.4,99,22.2,22.1
105,°­¸ª,2020-07-29 05:00,20.7,,99,22.1,22
105,°­¸ª,2020-07-29 06:00,20.7,.5,99,22.1,22
105,°­¸ª,2020-07-29 07:00,20.7,8.5,99,22,21.9
105,°­¸ª,2020-07-29 08:00,20.8,4.1,99,21.9,21.8
105,°­¸ª,2020-07-29 09:00,21,2.1,99,22,21.9
105,°­¸ª,2020-07-29 10:00,21,1.9,99,22,21.9
105,°­¸ª,2020-07-29 11:00,21.8,,96,22.4,22.1
105,°­¸ª,2020-07-29 12:00,22.6,,93,22.8,22.5
105,°­¸ª,2020-07-29 13:00,23.4,,89,23.6,23.2
105,°­¸ª,2020-07-29 14:00,22.8,,88,24,23.6
105,°­¸ª,2020-07-29 15:00,22.7,,88,24.1,23.8
105,°­¸ª,2020-07-29 16:00,22.9,,88,24,23.8
105,°­¸ª,2020-07-29 17:00,22.6,,89,24,23.7
105,°­¸ª,2020-07-29 18:00,22.9,,90,23.9,23.7
105,°­¸ª,2020-07-29 19:00,22.4,,91,23.7,23.6
105,°­¸ª,2020-07-29 20:00,22.1,0,93,23.5,23.4
105,°­¸ª,2020-07-29 21:00,22,,94,23.3,23.2
105,°­¸ª,2020-07-29 22:00,21.9,,95,23.1,23
105,°­¸ª,2020-07-29 23:00,21.8,,95,23,22.9
105,°­¸ª,2020-07-30 00:00,21.8,,96,22.9,22.8
105,°­¸ª,2020-07-30 01:00,21.7,,97,22.8,22.7
105,°­¸ª,2020-07-30 02:00,21.5,.2,97,22.7,22.6
105,°­¸ª,2020-07-30 03:00,21.4,9.4,98,22.6,22.5
105,°­¸ª,2020-07-30 04:00,21.4,.1,98,22.5,22.4
105,°­¸ª,2020-07-30 05:00,21.3,,98,22.4,22.3
105,°­¸ª,2020-07-30 06:00,21.3,,98,22.3,22.2
105,°­¸ª,2020-07-30 07:00,21.3,,98,22.3,22.2
105,°­¸ª,2020-07-30 08:00,21.4,,98,22.3,22.2
105,°­¸ª,2020-07-30 09:00,21.5,,97,22.4,22.2
105,°­¸ª,2020-07-30 10:00,21.9,,96,22.6,22.4
105,°­¸ª,2020-07-30 11:00,22,,96,22.8,22.6
105,°­¸ª,2020-07-30 12:00,22.3,,95,23,22.7
105,°­¸ª,2020-07-30 13:00,22.7,,93,23.3,23
105,°­¸ª,2020-07-30 14:00,23.9,,91,23.8,23.4
105,°­¸ª,2020-07-30 15:00,25.6,,83,24.9,24.3
105,°­¸ª,2020-07-30 16:00,25.6,,81,25.7,25.1
105,°­¸ª,2020-07-30 17:00,25.1,,81,25.9,25.4
105,°­¸ª,2020-07-30 18:00,24.1,,83,25.6,25.2
105,°­¸ª,2020-07-30 19:00,23.6,,86,25.2,24.9
105,°­¸ª,2020-07-30 20:00,23.2,,88,24.6,24.5
105,°­¸ª,2020-07-30 21:00,22.5,,92,24.2,24
105,°­¸ª,2020-07-30 22:00,22.3,,93,23.8,23.6
105,°­¸ª,2020-07-30 23:00,22.2,,93,23.4,23.3
105,°­¸ª,2020-07-31 00:00,24.5,,77,23.2,23.1
105,°­¸ª,2020-07-31 01:00,25.4,,70,23,22.9
105,°­¸ª,2020-07-31 02:00,25.8,,68,22.8,22.7
105,°­¸ª,2020-07-31 03:00,25.7,,67,22.7,22.6
105,°­¸ª,2020-07-31 04:00,25.4,,67,22.6,22.5
105,°­¸ª,2020-07-31 05:00,24.9,,69,22.4,22.4
105,°­¸ª,2020-07-31 06:00,25.1,,69,22.3,22.3
105,°­¸ª,2020-07-31 07:00,25.8,,67,22.3,22.2
105,°­¸ª,2020-07-31 08:00,27.3,,64,22.5,22.3
105,°­¸ª,2020-07-31 09:00,29,,61,23.3,23.1
105,°­¸ª,2020-07-31 10:00,30.5,,54,24.7,24.4
105,°­¸ª,2020-07-31 11:00,32,,48,25.9,25.6
105,°­¸ª,2020-07-31 12:00,33.1,,49,27.4,26.8
105,°­¸ª,2020-07-31 13:00,32.8,,46,28.9,28
105,°­¸ª,2020-07-31 14:00,32.9,,49,29.9,28.9
105,°­¸ª,2020-07-31 15:00,32.6,,48,29.9,29.1
105,°­¸ª,2020-07-31 16:00,32.8,,47,29.8,29.1
105,°­¸ª,2020-07-31 17:00,31.9,,50,29.3,28.8
105,°­¸ª,2020-07-31 18:00,31.3,,57,28.7,28.3
105,°­¸ª,2020-07-31 19:00,30.8,,58,28.1,27.9
105,°­¸ª,2020-07-31 20:00,29.4,,63,27.4,27.3
