발표시각,지역,도시,예보시각,최저기온,최고기온,최저기온하한,최저기온상한,최고기온하한,최고기온상한
2020-08-01 06시,서해5도,백령도,2020-08-04,22,26,,,,
2020-08-01 06시,서해5도,백령도,2020-08-05,22,26,,,,
2020-08-01 06시,서해5도,백령도,2020-08-06,22,26,,,,
2020-08-01 06시,서해5도,백령도,2020-08-07,21,26,,,,
2020-08-01 06시,서해5도,백령도,2020-08-08,21,27,,,,
2020-08-01 06시,서해5도,백령도,2020-08-09,21,27,,,,
2020-08-01 06시,서해5도,백령도,2020-08-10,23,26,,,,
2020-08-01 06시,서해5도,백령도,2020-08-11,22,26,,,,
2020-08-01 06시,서울(국지),서울,2020-08-04,24,29,23,25,28,30
2020-08-01 06시,서울(국지),서울,2020-08-05,24,29,23,25,28,31
2020-08-01 06시,서울(국지),서울,2020-08-06,24,29,23,25,27,30
2020-08-01 06시,서울(국지),서울,2020-08-07,24,28,23,25,27,30
2020-08-01 06시,서울(국지),서울,2020-08-08,23,29,22,24,28,30
2020-08-01 06시,서울(국지),서울,2020-08-09,24,29,23,25,28,30
2020-08-01 06시,서울(국지),서울,2020-08-10,24,29,23,25,28,31
2020-08-01 06시,서울(국지),서울,2020-08-11,24,29,23,24,28,30
2020-08-01 06시,서울(국지),과천,2020-08-04,24,28,,,,
2020-08-01 06시,서울(국지),과천,2020-08-05,24,28,,,,
2020-08-01 06시,서울(국지),과천,2020-08-06,24,29,,,,
2020-08-01 06시,서울(국지),과천,2020-08-07,24,27,,,,
2020-08-01 06시,서울(국지),과천,2020-08-08,23,29,,,,
2020-08-01 06시,서울(국지),과천,2020-08-09,23,29,,,,
2020-08-01 06시,서울(국지),과천,2020-08-10,23,29,,,,
2020-08-01 06시,서울(국지),과천,2020-08-11,24,31,,,,
2020-08-01 06시,서울(국지),광명,2020-08-04,25,28,,,,
2020-08-01 06시,서울(국지),광명,2020-08-05,24,28,,,,
2020-08-01 06시,서울(국지),광명,2020-08-06,25,28,,,,
2020-08-01 06시,서울(국지),광명,2020-08-07,25,27,,,,
2020-08-01 06시,서울(국지),광명,2020-08-08,24,28,,,,
2020-08-01 06시,서울(국지),광명,2020-08-09,24,28,,,,
2020-08-01 06시,서울(국지),광명,2020-08-10,24,29,,,,
2020-08-01 06시,서울(국지),광명,2020-08-11,25,29,,,,
2020-08-01 06시,경기북부서해안,강화,2020-08-04,23,25,,,,
2020-08-01 06시,경기북부서해안,강화,2020-08-05,23,27,,,,
2020-08-01 06시,경기북부서해안,강화,2020-08-06,23,27,,,,
2020-08-01 06시,경기북부서해안,강화,2020-08-07,23,26,,,,
2020-08-01 06시,경기북부서해안,강화,2020-08-08,22,27,,,,
2020-08-01 06시,경기북부서해안,강화,2020-08-09,22,27,,,,
2020-08-01 06시,경기북부서해안,강화,2020-08-10,22,27,,,,
2020-08-01 06시,경기북부서해안,강화,2020-08-11,23,28,,,,
2020-08-01 06시,경기북부서해안,김포,2020-08-04,25,28,,,,
2020-08-01 06시,경기북부서해안,김포,2020-08-05,24,29,,,,
2020-08-01 06시,경기북부서해안,김포,2020-08-06,24,29,,,,
2020-08-01 06시,경기북부서해안,김포,2020-08-07,24,27,,,,
2020-08-01 06시,경기북부서해안,김포,2020-08-08,23,28,,,,
2020-08-01 06시,경기북부서해안,김포,2020-08-09,23,29,,,,
2020-08-01 06시,경기북부서해안,김포,2020-08-10,24,29,,,,
2020-08-01 06시,경기북부서해안,김포,2020-08-11,25,30,,,,
2020-08-01 06시,인천.경기남부서해안,인천,2020-08-04,24,28,23,25,27,29
2020-08-01 06시,인천.경기남부서해안,인천,2020-08-05,24,28,23,25,27,29
2020-08-01 06시,인천.경기남부서해안,인천,2020-08-06,24,28,23,25,27,29
2020-08-01 06시,인천.경기남부서해안,인천,2020-08-07,24,27,23,25,26,28
2020-08-01 06시,인천.경기남부서해안,인천,2020-08-08,23,27,22,24,26,28
2020-08-01 06시,인천.경기남부서해안,인천,2020-08-09,23,28,22,24,27,29
2020-08-01 06시,인천.경기남부서해안,인천,2020-08-10,24,28,23,25,27,29
2020-08-01 06시,인천.경기남부서해안,인천,2020-08-11,24,28,23,25,27,29
2020-08-01 06시,인천.경기남부서해안,시흥,2020-08-04,24,28,,,,
2020-08-01 06시,인천.경기남부서해안,시흥,2020-08-05,24,28,,,,
2020-08-01 06시,인천.경기남부서해안,시흥,2020-08-06,24,28,,,,
2020-08-01 06시,인천.경기남부서해안,시흥,2020-08-07,24,28,,,,
2020-08-01 06시,인천.경기남부서해안,시흥,2020-08-08,23,29,,,,
2020-08-01 06시,인천.경기남부서해안,시흥,2020-08-09,23,30,,,,
2020-08-01 06시,인천.경기남부서해안,시흥,2020-08-10,23,29,,,,
2020-08-01 06시,인천.경기남부서해안,시흥,2020-08-11,25,31,,,,
2020-08-01 06시,인천.경기남부서해안,안산,2020-08-04,25,30,,,,
2020-08-01 06시,인천.경기남부서해안,안산,2020-08-05,24,29,,,,
2020-08-01 06시,인천.경기남부서해안,안산,2020-08-06,24,29,,,,
2020-08-01 06시,인천.경기남부서해안,안산,2020-08-07,24,29,,,,
2020-08-01 06시,인천.경기남부서해안,안산,2020-08-08,24,29,,,,
2020-08-01 06시,인천.경기남부서해안,안산,2020-08-09,23,30,,,,
2020-08-01 06시,인천.경기남부서해안,안산,2020-08-10,24,30,,,,
2020-08-01 06시,인천.경기남부서해안,안산,2020-08-11,25,31,,,,
2020-08-01 06시,인천.경기남부서해안,부천,2020-08-04,24,28,,,,
2020-08-01 06시,인천.경기남부서해안,부천,2020-08-05,24,30,,,,
2020-08-01 06시,인천.경기남부서해안,부천,2020-08-06,24,30,,,,
2020-08-01 06시,인천.경기남부서해안,부천,2020-08-07,24,28,,,,
2020-08-01 06시,인천.경기남부서해안,부천,2020-08-08,23,29,,,,
2020-08-01 06시,인천.경기남부서해안,부천,2020-08-09,24,31,,,,
2020-08-01 06시,인천.경기남부서해안,부천,2020-08-10,24,31,,,,
2020-08-01 06시,인천.경기남부서해안,부천,2020-08-11,25,32,,,,
2020-08-01 06시,경기북서내륙,의정부,2020-08-04,24,29,,,,
2020-08-01 06시,경기북서내륙,의정부,2020-08-05,25,29,,,,
2020-08-01 06시,경기북서내륙,의정부,2020-08-06,24,29,,,,
2020-08-01 06시,경기북서내륙,의정부,2020-08-07,23,27,,,,
2020-08-01 06시,경기북서내륙,의정부,2020-08-08,22,28,,,,
2020-08-01 06시,경기북서내륙,의정부,2020-08-09,23,29,,,,
2020-08-01 06시,경기북서내륙,의정부,2020-08-10,24,30,,,,
2020-08-01 06시,경기북서내륙,의정부,2020-08-11,24,30,,,,
2020-08-01 06시,경기북서내륙,고양,2020-08-04,24,30,,,,
2020-08-01 06시,경기북서내륙,고양,2020-08-05,24,30,,,,
2020-08-01 06시,경기북서내륙,고양,2020-08-06,24,30,,,,
2020-08-01 06시,경기북서내륙,고양,2020-08-07,23,29,,,,
2020-08-01 06시,경기북서내륙,고양,2020-08-08,22,30,,,,
2020-08-01 06시,경기북서내륙,고양,2020-08-09,22,30,,,,
2020-08-01 06시,경기북서내륙,고양,2020-08-10,23,31,,,,
2020-08-01 06시,경기북서내륙,고양,2020-08-11,24,31,,,,
2020-08-01 06시,경기북서내륙,양주,2020-08-04,24,28,,,,
2020-08-01 06시,경기북서내륙,양주,2020-08-05,23,28,,,,
2020-08-01 06시,경기북서내륙,양주,2020-08-06,24,28,,,,
2020-08-01 06시,경기북서내륙,양주,2020-08-07,23,27,,,,
2020-08-01 06시,경기북서내륙,양주,2020-08-08,22,28,,,,
2020-08-01 06시,경기북서내륙,양주,2020-08-09,22,29,,,,
2020-08-01 06시,경기북서내륙,양주,2020-08-10,23,29,,,,
2020-08-01 06시,경기북서내륙,양주,2020-08-11,24,30,,,,
2020-08-01 06시,경기북서내륙,파주,2020-08-04,23,28,22,24,26,30
2020-08-01 06시,경기북서내륙,파주,2020-08-05,23,29,22,24,28,30
2020-08-01 06시,경기북서내륙,파주,2020-08-06,23,28,22,24,27,29
2020-08-01 06시,경기북서내륙,파주,2020-08-07,23,28,22,24,27,30
2020-08-01 06시,경기북서내륙,파주,2020-08-08,22,28,21,23,26,30
2020-08-01 06시,경기북서내륙,파주,2020-08-09,23,28,21,25,26,30
2020-08-01 06시,경기북서내륙,파주,2020-08-10,23,28,21,25,26,30
2020-08-01 06시,경기북서내륙,파주,2020-08-11,23,29,22,24,28,30
2020-08-01 06시,경기북동내륙,동두천,2020-08-04,23,26,,,,
2020-08-01 06시,경기북동내륙,동두천,2020-08-05,23,27,,,,
2020-08-01 06시,경기북동내륙,동두천,2020-08-06,23,27,,,,
2020-08-01 06시,경기북동내륙,동두천,2020-08-07,23,26,,,,
2020-08-01 06시,경기북동내륙,동두천,2020-08-08,22,28,,,,
2020-08-01 06시,경기북동내륙,동두천,2020-08-09,22,28,,,,
2020-08-01 06시,경기북동내륙,동두천,2020-08-10,23,28,,,,
2020-08-01 06시,경기북동내륙,동두천,2020-08-11,23,29,,,,
2020-08-01 06시,경기북동내륙,연천,2020-08-04,22,26,,,,
2020-08-01 06시,경기북동내륙,연천,2020-08-05,22,26,,,,
2020-08-01 06시,경기북동내륙,연천,2020-08-06,21,26,,,,
2020-08-01 06시,경기북동내륙,연천,2020-08-07,22,26,,,,
2020-08-01 06시,경기북동내륙,연천,2020-08-08,21,28,,,,
2020-08-01 06시,경기북동내륙,연천,2020-08-09,21,28,,,,
2020-08-01 06시,경기북동내륙,연천,2020-08-10,22,28,,,,
2020-08-01 06시,경기북동내륙,연천,2020-08-11,23,28,,,,
2020-08-01 06시,경기북동내륙,포천,2020-08-04,24,28,,,,
2020-08-01 06시,경기북동내륙,포천,2020-08-05,25,29,,,,
2020-08-01 06시,경기북동내륙,포천,2020-08-06,23,29,,,,
2020-08-01 06시,경기북동내륙,포천,2020-08-07,23,27,,,,
2020-08-01 06시,경기북동내륙,포천,2020-08-08,22,28,,,,
2020-08-01 06시,경기북동내륙,포천,2020-08-09,22,29,,,,
2020-08-01 06시,경기북동내륙,포천,2020-08-10,23,30,,,,
2020-08-01 06시,경기북동내륙,포천,2020-08-11,24,31,,,,
2020-08-01 06시,경기북동내륙,가평,2020-08-04,23,27,,,,
2020-08-01 06시,경기북동내륙,가평,2020-08-05,23,28,,,,
2020-08-01 06시,경기북동내륙,가평,2020-08-06,23,28,,,,
2020-08-01 06시,경기북동내륙,가평,2020-08-07,23,27,,,,
2020-08-01 06시,경기북동내륙,가평,2020-08-08,22,28,,,,
2020-08-01 06시,경기북동내륙,가평,2020-08-09,22,29,,,,
2020-08-01 06시,경기북동내륙,가평,2020-08-10,23,30,,,,
2020-08-01 06시,경기북동내륙,가평,2020-08-11,23,31,,,,
2020-08-01 06시,경기중부내륙,구리,2020-08-04,24,30,,,,
2020-08-01 06시,경기중부내륙,구리,2020-08-05,24,30,,,,
2020-08-01 06시,경기중부내륙,구리,2020-08-06,24,30,,,,
2020-08-01 06시,경기중부내륙,구리,2020-08-07,24,29,,,,
2020-08-01 06시,경기중부내륙,구리,2020-08-08,23,30,,,,
2020-08-01 06시,경기중부내륙,구리,2020-08-09,24,31,,,,
2020-08-01 06시,경기중부내륙,구리,2020-08-10,25,30,,,,
2020-08-01 06시,경기중부내륙,구리,2020-08-11,25,32,,,,
2020-08-01 06시,경기중부내륙,남양주,2020-08-04,24,28,,,,
2020-08-01 06시,경기중부내륙,남양주,2020-08-05,24,28,,,,
2020-08-01 06시,경기중부내륙,남양주,2020-08-06,24,28,,,,
2020-08-01 06시,경기중부내륙,남양주,2020-08-07,23,27,,,,
2020-08-01 06시,경기중부내륙,남양주,2020-08-08,22,28,,,,
2020-08-01 06시,경기중부내륙,남양주,2020-08-09,23,29,,,,
2020-08-01 06시,경기중부내륙,남양주,2020-08-10,24,29,,,,
2020-08-01 06시,경기중부내륙,남양주,2020-08-11,25,30,,,,
2020-08-01 06시,경기중부내륙,양평,2020-08-04,24,28,,,,
2020-08-01 06시,경기중부내륙,양평,2020-08-05,24,28,,,,
2020-08-01 06시,경기중부내륙,양평,2020-08-06,24,28,,,,
2020-08-01 06시,경기중부내륙,양평,2020-08-07,24,28,,,,
2020-08-01 06시,경기중부내륙,양평,2020-08-08,23,30,,,,
2020-08-01 06시,경기중부내륙,양평,2020-08-09,23,29,,,,
2020-08-01 06시,경기중부내륙,양평,2020-08-10,23,30,,,,
2020-08-01 06시,경기중부내륙,양평,2020-08-11,24,30,,,,
2020-08-01 06시,경기중부내륙,하남,2020-08-04,25,29,,,,
2020-08-01 06시,경기중부내륙,하남,2020-08-05,24,30,,,,
2020-08-01 06시,경기중부내륙,하남,2020-08-06,24,29,,,,
2020-08-01 06시,경기중부내륙,하남,2020-08-07,24,28,,,,
2020-08-01 06시,경기중부내륙,하남,2020-08-08,24,29,,,,
2020-08-01 06시,경기중부내륙,하남,2020-08-09,24,30,,,,
2020-08-01 06시,경기중부내륙,하남,2020-08-10,24,30,,,,
2020-08-01 06시,경기중부내륙,하남,2020-08-11,25,31,,,,
2020-08-01 06시,경기남서내륙,수원,2020-08-04,24,30,23,25,29,31
2020-08-01 06시,경기남서내륙,수원,2020-08-05,24,29,23,25,28,31
2020-08-01 06시,경기남서내륙,수원,2020-08-06,24,29,23,25,28,30
2020-08-01 06시,경기남서내륙,수원,2020-08-07,24,30,23,25,29,31
2020-08-01 06시,경기남서내륙,수원,2020-08-08,23,30,22,24,28,31
2020-08-01 06시,경기남서내륙,수원,2020-08-09,24,30,23,25,29,31
2020-08-01 06시,경기남서내륙,수원,2020-08-10,24,30,23,24,29,31
